"respondent_id","started_at","submitted_at","format","what_worked","what_to_improve"
"R034","2026-06-01T09:34:21Z","2026-06-01T09:38:21Z","online","good content and easy access from home","audio was poor and it was hard to ask questions"
"R035","2026-06-01T09:34:58Z","2026-06-01T09:38:58Z","online","the online platform worked well and was easy","slow platform and little chance to interact"
"R036","2026-06-01T09:35:35Z","2026-06-01T09:39:35Z","online","the online platform worked well and was easy","slow platform and little chance to interact"
"R037","2026-06-01T09:36:12Z","2026-06-01T09:40:12Z","online","useful sessions and the recordings were excellent","slow platform and little chance to interact"
"R038","2026-06-01T09:36:49Z","2026-06-01T09:40:49Z","in_person","the sessions were excellent and well organised","the breaks were too short and rooms were crowded"
"R039","2026-06-01T09:37:26Z","2026-06-01T09:41:26Z","in_person","networking was valuable and the venue was good","catering was poor and signage was confusing"
"R040","2026-06-01T09:38:03Z","2026-06-01T09:42:03Z","in_person","networking was valuable and the venue was good","the breaks were too short and rooms were crowded"
"R041","2026-06-01T09:38:40Z","2026-06-01T09:42:40Z","online","useful sessions and the recordings were excellent","audio was poor and it was hard to ask questions"
"R042","2026-06-01T09:39:17Z","2026-06-01T09:43:17Z","online","useful sessions and the recordings were excellent","the platform was slow and hard to navigate"
"R043","2026-06-01T09:39:54Z","2026-06-01T09:43:54Z","in_person","excellent speakers and useful practical sessions","the breaks were too short and rooms were crowded"
"R044","2026-06-01T09:40:31Z","2026-06-01T09:44:31Z","online","good content and easy access from home","more interaction please and better audio quality"
"R045","2026-06-01T09:41:08Z","2026-06-01T09:45:08Z","in_person","the sessions were excellent and well organised","too crowded and the rooms were hard to find"
"R046","2026-06-01T09:41:45Z","2026-06-01T09:45:45Z","online","easy to join and the speakers were clear","slow platform and little chance to interact"
"R047","2026-06-01T09:42:22Z","2026-06-01T09:46:22Z","online","easy to join and the speakers were clear","audio was poor and it was hard to ask questions"
"R048","2026-06-01T09:42:59Z","2026-06-01T09:46:59Z","in_person","networking was valuable and the venue was good","catering was poor and signage was confusing"
"R049","2026-06-01T09:43:36Z","2026-06-01T09:47:36Z","in_person","the sessions were excellent and well organised","catering was poor and signage was confusing"
"R050","2026-06-01T09:44:13Z","2026-06-01T09:48:13Z","online","useful sessions and the recordings were excellent","the platform was slow and hard to navigate"
"R051","2026-06-01T09:44:50Z","2026-06-01T09:48:50Z","in_person","networking was valuable and the venue was good","the breaks were too short and rooms were crowded"
"R052","2026-06-01T09:45:27Z","2026-06-01T09:49:27Z","in_person","excellent speakers and useful practical sessions","more practical sessions and longer breaks please"
"R053","2026-06-01T09:46:04Z","2026-06-01T09:50:04Z","in_person","excellent speakers and useful practical sessions","too crowded and the rooms were hard to find"
"R054","2026-06-01T09:46:41Z","2026-06-01T09:50:41Z","online","useful sessions and the recordings were excellent","slow platform and little chance to interact"
"R055","2026-06-01T09:47:18Z","2026-06-01T09:51:18Z","in_person","excellent speakers and useful practical sessions","too crowded and the rooms were hard to find"
"R056","2026-06-01T09:47:55Z","2026-06-01T09:51:55Z","online","good content and easy access from home","more interaction please and better audio quality"
"R057","2026-06-01T09:48:32Z","2026-06-01T09:52:32Z","online","easy to join and the speakers were clear","the platform was slow and hard to navigate"
"R058","2026-06-01T09:49:09Z","2026-06-01T09:53:09Z","in_person","the sessions were excellent and well organised","more practical sessions and longer breaks please"
"R059","2026-06-01T09:49:46Z","2026-06-01T09:53:46Z","in_person","networking was valuable and the venue was good","catering was poor and signage was confusing"
"R060","2026-06-01T09:50:23Z","2026-06-01T09:54:23Z","in_person","the sessions were excellent and well organised","catering was poor and signage was confusing"
